"ROI (%)","Error Rate (%)","Win/Loss Ratio","# Trades/Day","Ending Balance ($)","# Wins","# Losses","Period","# Days","Trend EMA","Oversold RSI","Oversold RSI Periods","Neutral Rate","Full Parameters"
73.105,41.67,1.4,1.2,1731.05257439,7,5,"10m",10,11,27,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 27,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
70.575,38.89,1.571,1.8,1705.74693208,11,7,"10m",10,11,24,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 24,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
70.575,38.89,1.571,1.8,1705.74693208,11,7,"10m",10,11,26,7,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 26,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
70.575,38.89,1.571,1.8,1705.74693208,11,7,"10m",10,11,29,8,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 29,  ""oversold_rsi_periods"": 8,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 8,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
70.575,38.89,1.571,1.8,1705.74693208,11,7,"10m",10,11,27,7,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 27,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
69.457,38.89,1.571,1.8,1694.56698024,11,7,"10m",10,11,30,8,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 30,  ""oversold_rsi_periods"": 8,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 8,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
68.081,40,1.5,1.5,1680.80927738,9,6,"10m",10,11,25,6,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 25,  ""oversold_rsi_periods"": 6,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 6,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
67.017,42.86,1.333,2.1,1670.17258222,12,9,"10m",10,11,22,7,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 22,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
67.017,42.86,1.333,2.1,1670.17258222,12,9,"10m",10,11,24,8,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 24,  ""oversold_rsi_periods"": 8,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 8,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
66.979,40,1.5,1.5,1669.79277397,9,6,"10m",10,11,28,7,0.25,"{  ""asset_capital"": 0,  ""buy_pct"": 98,  ""buy_stop_pct"": 0,  ""currency_capital"": 1000,  ""days"": 10,  ""markup_pct"": 0,  ""max_sell_loss_pct"": 25,  ""max_slippage_pct"": 5,  ""min_periods"": 52,  ""mode"": ""sim"",  ""neutral_rate"": 0.25,  ""order_adjust_time"": 30000,  ""oversold_rsi"": 28,  ""oversold_rsi_periods"": 7,  ""period"": ""10m"",  ""profit_stop_enable_pct"": 0,  ""profit_stop_pct"": 1,  ""rsi_periods"": 7,  ""selector"": ""gdax.ETH-USD"",  ""sell_pct"": 98,  ""sell_stop_pct"": 0,  ""start"": 1495929600000,  ""stats"": false,  ""strategy"": ""trend_ema"",  ""trend_ema"": 11,  ""verbose"": false}"
